Num,Molfile,Q1A,Q1Feedback,Q2A,Q2Feedback,Q3A1,Q3A2,Q3A3,Q3A4,Q3A,Q3Feedback,Q4A1,Q4A2,Q4A3,Q4A4,Q4A,Q4Feedback,
1,"Example 1 transition state

Created by GaussView 5.0.8
 19 20  0  0  0  0  0  0  0  0  0    0
   -0.5601    2.2556    0.6676 C   0  0  0  0  0  0  0  0  0  0  0  0
   -1.6301    2.2556    0.6676 H   0  0  0  0  0  0  0  0  0  0  0  0
    0.1152    3.4306    0.6676 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.5800    4.2415    0.7313 H   0  0  0  0  0  0  0  0  0  0  0  0
    0.8700    3.4582    1.4255 H   0  0  0  0  0  0  0  0  0  0  0  0
    0.2073    0.9204    0.6676 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.3314   -0.0041    0.6676 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.5624    0.9124    0.6676 C   0  0  0  0  0  0  0  0  0  0  0  0
    1.9662    1.5507    1.4255 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.9131   -0.0965    0.7313 H   0  0  0  0  0  0  0  0  0  0  0  0
    2.1868    2.1388   -1.2835 C   0  0  0  0  0  0  0  0  0  0  0  0
    3.3999    1.8465   -1.2123 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.4892    3.3527   -1.2835 C   0  0  0  0  0  0  0  0  0  0  0  0
    1.9393    4.3093   -1.1189 H   0  0  0  0  0  0  0  0  0  0  0  0
    0.3761    3.1727   -2.3324 C   0  0  0  0  0  0  0  0  0  0  0  0
    1.6558    1.0753   -2.2625 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.4321    4.1086   -2.5654 O   0  0  0  0  0  0  0  0  0  0  0  0
    2.0810   -0.0799   -2.5236 O   0  0  0  0  0  0  0  0  0  0  0  0
    0.5466    1.8293   -2.8510 O   0  0  0  0  0  0  0  0  0  0  0  0
  1  2  1  0  0  0  0
  1  3  2  0  0  0  0
  1  6  1  0  0  0  0
  3  4  1  0  0  0  0
  3  5  1  0  0  0  0
  3 13  9  0  0  0  0
  6  7  1  0  0  0  0
  6  8  2  0  0  0  0
  8  9  1  0  0  0  0
  8 10  1  0  0  0  0
  8 11  9  0  0  0  0
 11 12  1  0  0  0  0
 11 13  2  0  0  0  0
 11 16  1  0  0  0  0
 13 14  1  0  0  0  0
 13 15  1  0  0  0  0
 15 17  2  0  0  0  0
 15 19  1  0  0  0  0
 16 18  2  0  0  0  0
 16 19  1  0  0  0  0
",a,"Two new &sigma;-bonds and a new ring were formed at the expense of 1 &pi;-bond in this reaction. This is a [4+2] cycloaddition, a Diels-Alder reaction specifically.
",a,"A [4+2] cycloaddition goes through a preferred <strong><em>endo</strong></em> TS. Note that this may not necessarily apply to all types of cycloaddition.
",img,img,img,img,"a,c",Both A and C are <em><strong>endo</em></strong> transition states with secondary orbital interaction between the two middle carbons of the diene and the carbonyl groups (all marked with *&#x27;s).,img,img,img,img,"a,d",A point-of-view as shown will result in the hydrogens in question pointing toward the viewer. Thus both A and D (identical structures) are correct., 
2,"Example 2 transition state

Created by GaussView 5.0.8
 25 25  0  0  0  0  0  0  0  0  0    0
   -3.0650   -1.3459   -0.0516 C   0  0  0  0  0  0  0  0  0  0  0  0
   -1.5744   -1.3100    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.9981    0.0654   -0.0515 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.6646   -0.4684    1.2105 C   0  0  0  0  0  0  0  0  0  0  0  0
    0.1205    0.0314    0.0112 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.2019   -1.8556    0.9066 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.1991   -1.8598   -0.9019 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.4377   -0.9128   -1.0170 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.3986   -0.9741    2.1758 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.2667    0.5710   -1.0161 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.2013   -0.4202    1.1213 C   0  0  0  0  0  0  0  0  0  0  0  0
   -5.5909   -1.4166    1.1386 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.5898    0.1292    1.9532 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.4907    0.0602    0.2101 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.5810   -2.7942    0.0356 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.5792   -3.1126    1.0571 H   0  0  0  0  0  0  0  0  0  0  0  0
   -4.5776   -2.8417   -0.3510 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.9448   -3.4347   -0.5387 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.5965    0.9414    1.2122 O   0  0  0  0  0  0  0  0  0  0  0  0
   -3.0873    0.9063    1.1602 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.8912    2.0855    1.0701 O   0  0  0  0  0  0  0  0  0  0  0  0
   -3.4851    3.0180    2.0752 C   0  0  0  0  0  0  0  0  0  0  0  0
   -2.5933    3.5175    1.7589 H   0  0  0  0  0  0  0  0  0  0  0  0
   -4.2618    3.7379    2.2286 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.2964    2.4965    2.9903 H   0  0  0  0  0  0  0  0  0  0  0  0
  1  2  4  0  0  0  0
  1  4  9  0  0  0  0
  1  8  1  0  0  0  0
  1 15  1  0  0  0  0
  2  3  4  0  0  0  0
  2  6  1  0  0  0  0
  2  7  1  0  0  0  0
  3  5  1  0  0  0  0
  3 10  1  0  0  0  0
  3 19  9  0  0  0  0
  4  9  1  0  0  0  0
  4 11  1  0  0  0  0
  4 20  4  0  0  0  0
 11 12  1  0  0  0  0
 11 13  1  0  0  0  0
 11 14  1  0  0  0  0
 15 16  1  0  0  0  0
 15 17  1  0  0  0  0
 15 18  1  0  0  0  0
 19 20  4  0  0  0  0
 20 21  1  0  0  0  0
 21 22  1  0  0  0  0
 22 23  1  0  0  0  0
 22 24  1  0  0  0  0
 22 25  1  0  0  0  0
",b,"This reaction resulted in the migration of 1 &sigma;-bond and a net change of zero &sigma; or &pi;-bond. The two flip-flop fragments contain 3 heavy atoms each. So this is a [3,3]-sigmatropic rearrangement. A Claisen rearrangement, specifically.
",b,"The selectivity of a [3,3]-sigmatropic rearrangement is determined by a 6-membered ring chair TS. Note that this may not necessarily apply to all types of sigmatropic rearrangement.",img,Neither of them,img,Both of them,c,"Only B is a chair TS. A is a boat TS, which will only happen when it is impossible to achieve the chair TS.",img,img,img,img,"c,d","The TS suggest the two Me groups should be <strong><em>trans</em></strong> to each other. This is due to the original <strong><em>trans</em></strong> geometry of both double bonds, which must be maintained in the TS. This specific TS will give C. Its mirror image will give D.", 
3,,c,"A ring opening reaction wherein a &sigma;-bond disappeared and a new &pi;-bond is formed. This is an electrocyclic reaction. It is a little difficult to see because of the three-membered ring, but that&#39;s precisely the driving force of the reaction.
",c,"A 6 &pi;-electrons thermal electrocyclic reaction, so it&#39;s <strong><em>disrotatory</em></strong>.",,,,,,,,,,,,,
4,"Example 4 TS

Created by GaussView 5.0.8
 47 49  0  0  0  0  0  0  0  0  0    0
   -0.5601    2.2556    0.6676 C   0  0  0  0  0  0  0  0  0  0  0  0
    0.1152    3.4142    0.8632 C   0  0  0  0  0  0  0  0  0  0  0  0
    0.8700    3.3153    1.6150 H   0  0  0  0  0  0  0  0  0  0  0  0
    0.2073    0.9391    0.4454 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.3314    0.0274    0.2915 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.5624    0.9311    0.4440 C   0  0  0  0  0  0  0  0  0  0  0  0
    1.9662    1.4344    1.2976 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.9131   -0.0743    0.3389 H   0  0  0  0  0  0  0  0  0  0  0  0
    2.1868    2.4652   -1.2757 C   0  0  0  0  0  0  0  0  0  0  0  0
    3.2545    2.2011   -1.2568 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.4892    3.6621   -1.0737 C   0  0  0  0  0  0  0  0  0  0  0  0
    1.9393    4.5780   -0.7521 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.1001    2.2556    0.6676 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.6552    4.7125    1.1677 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.1303    5.2721    1.9135 H   0  0  0  0  0  0  0  0  0  0  0  0
   -0.7366    5.2967    0.2749 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.0638    4.3645    1.6837 C   0  0  0  0  0  0  0  0  0  0  0  0
   -2.6134    3.6836    0.4050 C   0  0  0  0  0  0  0  0  0  0  0  0
   -2.0221    3.6799    2.5050 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.6199    5.2453    1.9284 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.1771    4.1002   -0.4787 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.6825    3.7157    0.3731 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.6134    1.3142   -0.4378 C   0  0  0  0  0  0  0  0  0  0  0  0
   -2.1704    0.3477   -0.3173 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.6779    1.2298   -0.3685 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.3487    1.7111   -1.3956 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.6134    1.7690    2.0356 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.5541    2.2322    2.2488 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.7361    0.7063    2.0131 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.9068    2.0305    2.7953 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.7482    1.4970   -2.3900 C   0  0  0  0  0  0  0  0  0  0  0  0
    2.2817    0.5941   -2.6024 H   0  0  0  0  0  0  0  0  0  0  0  0
    0.6178    1.8164   -3.1419 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.1208    3.1514   -2.9329 C   0  0  0  0  0  0  0  0  0  0  0  0
    0.2856    4.0122   -1.9683 C   0  0  0  0  0  0  0  0  0  0  0  0
   -1.1134    3.5595   -3.5900 O   0  0  0  0  0  0  0  0  0  0  0  0
   -0.4034    5.0633   -1.9048 O   0  0  0  0  0  0  0  0  0  0  0  0
    0.2711    0.6884   -4.1313 C   0  0  0  0  0  0  0  0  0  0  0  0
    0.4843   -0.2587   -3.6814 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.2250    0.7615   -4.4893 C   0  0  0  0  0  0  0  0  0  0  0  0
   -1.3674    1.4624   -5.2851 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.5650   -0.2044   -4.7997 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.7819    1.0772   -3.6320 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.1135    0.8504   -5.4103 C   0  0  0  0  0  0  0  0  0  0  0  0
    2.1065    1.1502   -5.1477 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.1492   -0.0818   -5.9343 H   0  0  0  0  0  0  0  0  0  0  0  0
    0.6701    1.5954   -6.0374 H   0  0  0  0  0  0  0  0  0  0  0  0
  1  2  2  0  0  0  0
  1  4  1  0  0  0  0
  1 13  1  0  0  0  0
  2  3  1  0  0  0  0
  2 14  1  0  0  0  0
  2 11  9  0  0  0  0
  4  5  1  0  0  0  0
  4  6  2  0  0  0  0
  6  7  1  0  0  0  0
  6  8  1  0  0  0  0
  6  9  9  0  0  0  0
  9 10  1  0  0  0  0
  9 11  2  0  0  0  0
  9 31  1  0  0  0  0
 11 12  1  0  0  0  0
 11 35  1  0  0  0  0
 13 18  1  0  0  0  0
 13 23  1  0  0  0  0
 13 27  1  0  0  0  0
 14 15  1  0  0  0  0
 14 16  1  0  0  0  0
 14 17  1  0  0  0  0
 17 18  1  0  0  0  0
 17 19  1  0  0  0  0
 17 20  1  0  0  0  0
 18 21  1  0  0  0  0
 18 22  1  0  0  0  0
 23 24  1  0  0  0  0
 23 25  1  0  0  0  0
 23 26  1  0  0  0  0
 27 28  1  0  0  0  0
 27 29  1  0  0  0  0
 27 30  1  0  0  0  0
 31 32  1  0  0  0  0
 31 33  2  0  0  0  0
 33 34  1  0  0  0  0
 33 38  1  0  0  0  0
 34 35  1  0  0  0  0
 34 36  2  0  0  0  0
 35 37  2  0  0  0  0
 38 39  1  0  0  0  0
 38 40  1  0  0  0  0
 38 44  1  0  0  0  0
 40 41  1  0  0  0  0
 40 42  1  0  0  0  0
 40 43  1  0  0  0  0
 44 45  1  0  0  0  0
 44 46  1  0  0  0  0
 44 47  1  0  0  0  0",a,Two new &sigma;-bonds and a new ring was formed from two fragments at the expense of 1 &pi;-bond. This is a [4+2] cycloaddition. The dienophile is also very conveniently electron poor.,a,Diels-Alder reaction always prefer an <em><strong>endo</em></strong> TS which maximises the secondary orbital interactions.,img,img,img,img,c,"(a) and (b) are <em><strong>exo</strong></em> TS&#39;s. (d) shows reaction at the wrong double bond. So the correct answer is (c).
",img,img,img,img,a,"The POV shown above will have all the three H&#39;s in question pointing toward the viewer.
",
5,"Example 5 TS

Created by GaussView 5.0.8
 24 25  0  0  0  0  0  0  0  0  0    0
   -2.1145   -0.1363   -0.3889 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.6463    2.1075    0.9576 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.8428    2.3951    1.9694 H   0  0  0  0  0  0  0  0  0  0  0  0
   -4.2424    0.7130    0.6899 C   0  0  0  0  0  0  0  0  0  0  0  0
   -5.1761    0.4521    1.1427 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.6870   -0.1352   -0.2756 C   0  0  0  0  0  0  0  0  0  0  0  0
   -4.3130   -0.8591   -0.7541 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.1305    2.1547    0.6901 C   0  0  0  0  0  0  0  0  0  0  0  0
   -1.5475    2.9292    1.1431 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.5184    1.2582   -0.1211 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.5847    1.5191   -0.5740 H   0  0  0  0  0  0  0  0  0  0  0  0
   -4.2741    3.0272    0.0606 O   0  0  0  0  0  0  0  0  0  0  0  0
   -4.7350    3.7022    0.5643 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.0649   -1.4110    1.4882 C   0  0  0  0  0  0  0  0  0  0  0  0
   -1.4077   -2.4244    1.4667 H   0  0  0  0  0  0  0  0  0  0  0  0
   -0.0005   -1.3921    1.3809 H   0  0  0  0  0  0  0  0  0  0  0  0
   -1.7198   -0.4230    2.6361 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.0562   -0.4556    2.8859 O   0  0  0  0  0  0  0  0  0  0  0  0
   -1.8317   -0.5503   -1.8450 C   0  0  0  0  0  0  0  0  0  0  0  0
   -2.6444   -1.3607   -2.4582 O   0  0  0  0  0  0  0  0  0  0  0  0
   -0.7808   -0.0885   -2.4580 O   0  0  0  0  0  0  0  0  0  0  0  0
   -0.8145    0.5393    3.4272 C   0  0  0  0  0  0  0  0  0  0  0  0
    0.4643    0.5706    3.1882 O   0  0  0  0  0  0  0  0  0  0  0  0
   -1.3309    1.3185    4.3325 O   0  0  0  0  0  0  0  0  0  0  0  0
  1 10  1  0  0  0  0
  1 14  9  0  0  0  0
  1 19  1  0  0  0  0
  1  6  1  0  0  0  0
  2  3  1  0  0  0  0
  2  4  1  0  0  0  0
  2  8  1  0  0  0  0
  2 12  1  0  0  0  0
  4  5  1  0  0  0  0
  4  6  2  0  0  0  0
  4 18  9  0  0  0  0
  6  7  1  0  0  0  0
  8  9  1  0  0  0  0
  8 10  2  0  0  0  0
 10 11  1  0  0  0  0
 12 13  1  0  0  0  0
 14 15  1  0  0  0  0
 14 16  1  0  0  0  0
 14 17  1  0  0  0  0
 17 18  2  0  0  0  0
 17 22  1  0  0  0  0
 19 20  4  0  0  0  0
 19 21  4  0  0  0  0
 22 23  4  0  0  0  0
 22 24  4  0  0  0  0
",b,"This reaction resulted in the migration of 1 &sigma;-bond and a net change of zero &sigma; or &pi;-bond. The two flip-flop fragments contain 3 heavy atoms each. So this is a [3,3]-sigmatropic rearrangement. A Claisen rearrangement, specifically.",b,Claisen rearrangement follows a chair TS unless it is physically impossible.,img,img,img,img,d,(c) and (d) are  the only chair TS&#39;s. (c) shows the unreacted double bond as <em><strong>trans</strong></em> instead of <em><strong>cis</strong></em>. So (d) is the correct answer.,img,img,img,img,a,A point-of-view from the top will result in the stereochemistry showed in (a).,
6,,a,Two fragments joining to form a new ring with concurrent generation of two &sigma;-bonds at the expense of 1 &pi;-bond. This is an [3+2] cycloaddition.,d,"The <em><strong>endo</strong></em> TS is normally mentioned when it comes to cycloaddition. However, this only applies to Diels-Alder reaction. In the [3+2] version, the triple bond is linear, so there is no <em><strong>endo</strong></em> or <em><strong>exo</strong></em> orientation.",,,,,,,,,,,,,
7,"Example 7 TS

Created by GaussView 5.0.8
 20 19  0  0  0  0  0  0  0  0  0    0
    0.5447    1.0131    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
   -0.5253    1.0131    0.0000 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.2199    2.1880    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
    0.6868    3.1158    0.0000 H   0  0  0  0  0  0  0  0  0  0  0  0
    1.0742   -0.4330    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
    0.3865   -1.2527   -0.0000 H   0  0  0  0  0  0  0  0  0  0  0  0
    2.3486   -0.8940    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
    3.2239   -0.2785    0.0000 H   0  0  0  0  0  0  0  0  0  0  0  0
    2.7360    2.4585   -0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
    3.0980    3.4654   -0.0000 H   0  0  0  0  0  0  0  0  0  0  0  0
    3.7759    1.5894   -0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
    3.6847    0.5233   -0.0000 H   0  0  0  0  0  0  0  0  0  0  0  0
    2.6160   -2.4106   -0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
    2.1829   -2.8491    0.8746 H   0  0  0  0  0  0  0  0  0  0  0  0
    2.1796   -2.8497   -0.8727 H   0  0  0  0  0  0  0  0  0  0  0  0
    3.6715   -2.5867   -0.0020 H   0  0  0  0  0  0  0  0  0  0  0  0
    5.2209    2.1219    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
    5.7301    1.7716    0.8735 H   0  0  0  0  0  0  0  0  0  0  0  0
    5.7299    1.7721   -0.8738 H   0  0  0  0  0  0  0  0  0  0  0  0
    5.2068    3.1918    0.0003 H   0  0  0  0  0  0  0  0  0  0  0  0
  1  2  1  0  0  0  0
  1  3  2  0  0  0  0
  1  5  1  0  0  0  0
  3  4  1  0  0  0  0
  3  9  1  0  0  0  0
  5  6  1  0  0  0  0
  5  7  2  0  0  0  0
  7  8  1  0  0  0  0
  7 13  1  0  0  0  0
  9 10  1  0  0  0  0
  9 11  2  0  0  0  0
 11 12  1  0  0  0  0
 11 17  1  0  0  0  0
 13 14  1  0  0  0  0
 13 15  1  0  0  0  0
 13 16  1  0  0  0  0
 17 18  1  0  0  0  0
 17 19  1  0  0  0  0
 17 20  1  0  0  0  0
",c,"A ring is formed at the expense of 1 &pi;-bond, which is converted into a &sigma;-bond. This reaction is an electrocyclic reaction.",c,"For electrocyclic reaction, the correct method is to use a POV looking at the bond being formed and working out the correct rotation.",img,img,img,img,b,"This is a 6 &pi;-electrons reaction under photochemical reaction. So the correct rotation is <strong><em>conrotatory</em></strong>. (b) is the correct answer. (a) and (d) are chair TS&#39;s, and should not apply to this type of reaction.",img,img,img,img,"a,c",The highlighted rotation suggests one should end up with the Me groups <em><strong>trans</strong></em> to each other. Clockwise and anti-clockwise rotations lead to product (a) and (c).,
8,,c,"A new ring is formed at the expense of 1 &pi;-bond, which is converted into 1 &sigma;-bond. This is a 4 &pi;-electrons electrocyclic reaction called Nazarov reaction.",c,"As it is an electrocyclic reaction, the conrotatory/disrotatory rule applies. In particular, this is a 4 &pi;-electrons system under thermal conditions, so it&#39;s <em><strong>conrotatory</em></strong>.",,,,,,,,,,,,,
9,"Example 9 TS

Created by GaussView 5.0.8
 42 43  0  0  0  0  0  0  0  0  0    0
   -4.6600   -0.7706    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.0600   -0.7706    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
   -2.5506    0.6404    0.0000 C   0  0  0  0  0  0  0  0  0  0  0  0
   -3.1002    1.4450    1.1607 C   0  0  0  0  0  0  0  0  0  0  0  0
   -4.6153    1.4456    1.1602 C   0  0  0  0  0  0  0  0  0  0  0  0
   -5.1681    0.0350    1.1589 C   0  0  0  0  0  0  0  0  0  0  0  0
   -1.4320    0.6065    0.0627 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.0327   -0.3376   -0.9654 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.7277    1.0101    2.1253 H   0  0  0  0  0  0  0  0  0  0  0  0
   -4.9872    1.9922    0.2538 H   0  0  0  0  0  0  0  0  0  0  0  0
   -4.9021   -0.4707    2.1242 H   0  0  0  0  0  0  0  0  0  0  0  0
   -6.2867    0.0701    1.0939 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.8192    1.1461   -0.9645 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.1761   -2.2190    0.0872 C   0  0  0  0  0  0  0  0  0  0  0  0
   -5.5887   -2.5836    1.0047 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.5445   -1.5260   -1.2390 C   0  0  0  0  0  0  0  0  0  0  0  0
   -2.2748   -0.9189   -2.0778 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.1046   -3.0903   -1.0696 C   0  0  0  0  0  0  0  0  0  0  0  0
   -5.3775   -2.7079   -2.0310 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.9624   -2.9145   -1.2463 C   0  0  0  0  0  0  0  0  0  0  0  0
   -2.6735   -3.4684   -0.3777 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.7413    2.4512    1.1015 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.2066   -4.1444   -0.9170 H   0  0  0  0  0  0  0  0  0  0  0  0
   -2.8651   -3.5306   -2.6543 C   0  0  0  0  0  0  0  0  0  0  0  0
   -1.8420   -3.5458   -2.9670 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.2467   -4.5300   -2.6334 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.4392   -2.9439   -3.3408 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.1310    2.2005    2.3995 C   0  0  0  0  0  0  0  0  0  0  0  0
   -4.6440    1.4871    3.6745 C   0  0  0  0  0  0  0  0  0  0  0  0
   -4.9229    2.0613    4.5332 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.0916    0.5170    3.7334 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.5792    1.3872    3.6427 H   0  0  0  0  0  0  0  0  0  0  0  0
   -4.5939    3.6437    2.3819 C   0  0  0  0  0  0  0  0  0  0  0  0
   -4.6397    4.0291    1.3848 H   0  0  0  0  0  0  0  0  0  0  0  0
   -5.1897    4.2539    3.0279 H   0  0  0  0  0  0  0  0  0  0  0  0
   -3.5789    3.6507    2.7207 H   0  0  0  0  0  0  0  0  0  0  0  0
   -6.6707    2.2255    2.3815 C   0  0  0  0  0  0  0  0  0  0  0  0
   -7.0229    2.9840    3.0490 H   0  0  0  0  0  0  0  0  0  0  0  0
